x	y	z
22	48	0.9979996265167513
22	50	0.9984356901449186
22	52	0.9980384293997349
22	54	0.9968240169197222
22	56	0.9952297404580241
22	58	0.9942387388935352
22	60	0.99451154645547
22	62	0.9963685135361359
22	64	0.9984823425129631
22	66	0.9994348505525215
22	68	0.999573054534614
22	70	0.9988837899134161
22	72	0.9941113066683969
22	74	0.981609936711215
22	76	0.9831797191943618
22	78	0.9943286439191433
22	80	0.9985661276615682
22	82	0.9994633013385154
22	84	0.9995964194539955
22	86	0.9995076990248817
22	88	0.9993098952424928
22	90	0.999051505271029
22	92	0.998693877583583
22	94	0.9980268785691898
22	96	0.9966008432679163
22	98	0.9934576939156574
22	100	0.9866970347405069
24	0	3.564931963358348e-4
24	2	7.774120969614853e-4
24	4	0.0016944762278444235
24	6	0.0036893489518939606
24	8	0.008014119667623087
24	10	0.01766385717430687
24	12	0.04138450144742079
24	14	0.088708434221048807
24	16	0.1814704524013022
24	18	0.3463695584878787
24	20	0.584674619650855
24	22	0.8188728939591728
24	24	0.9299734106072107
24	26	0.971374463249817
24	28	0.9856495802494065
24	30	0.9898610884934862
24	32	0.9921488217573715
24	34	0.9943419569682939
24	36	0.9951503515631954
24	38	0.9938236108036786
24	40	0.9901106086336907
24	42	0.9869833970769637
24	44	0.9902916649655135
24	46	0.9956200080629377
24	48	0.9978955295739269
24	50	0.9982464004992387
24	52	0.9974705690915752
24	54	0.9954699160726375
24	56	0.9934657354825576
24	58	0.993162057677236
24	60	0.9939628295848159
24	62	0.9956315013936375
24	64	0.9978983568052816
24	66	0.9992295022403475
24	68	0.9994976306646608
24	70	0.9987777057279662
24	72	0.99239687117076
24	74	0.9659462529162005
24	76	0.95456693821758
24	78	0.9814251094345487
24	80	0.9956688350888777
24	82	0.9986661157275567
24	84	0.9991185159826275
24	86	0.9989535091903496
24	88	0.9985293801753969
24	90	0.998070242194773
24	92	0.9976283550494979
24	94	0.9968757966898618
24	96	0.9951805692069874
24	98	0.9913286951399262
24	100	0.9831251837210797
26	0	1.63196965022848e-4
26	2	3.892907165631835e-4
26	4	9.283248606563913e-4
26	6	0.0022120847512180895
26	8	0.005261723809268467
26	10	0.012362631835986928
26	12	0.02715422726884477
26	14	0.05740349064096745
26	16	0.12616491927523305
26	18	0.24000828230303295
26	20	0.4479413223066895
26	22	0.7167174627723867
26	24	0.8796670077961922
26	26	0.9544777181836841
26	28	0.9794112445261185
26	30	0.9854614164043443
26	32	0.9882566354013343
26	34	0.9912999325343327
26	36	0.9923921578360219
26	38	0.9902551782542482
26	40	0.9850958552176574
26	42	0.9823610808770673
26	44	0.9884204752036305
26	46	0.99520018498404506
26	48	0.9976727402127498
26	50	0.9978538056453328
26	52	0.996460079922356
26	54	0.9931656709037474
26	56	0.9906975563314541
26	58	0.9916827424703171
26	60	0.9933732605998883
26	62	0.9948133904121461
26	64	0.9969709184427228
26	66	0.9987949667250873
26	68	0.9993088043014865
26	70	0.9986467589716912
26	72	0.9920563135953374
26	74	0.9545810481217094
26	76	0.9081628447349762
26	78	0.9469116700947625
26	80	0.9868333541247262
26	82	0.9965017438815992
26	84	0.9980175781824164
26	86	0.9977892299600492
26	88	0.9969106041214725
26	90	0.9960763961812116
26	92	0.9956336686935421
26	94	0.9949590654591577
26	96	0.9930340654545173
26	98	0.9882672508699019
26	100	0.9781017520194362
28	0	1.0682006177700884e-4
28	2	2.5343568572739483e-4
28	4	6.011672487860916e-4
28	6	0.0014253307269932068
28	8	0.0033755768279273924
28	10	0.008003785050098402
28	12	0.018792905743803136
28	14	0.041051617923773695
28	16	0.0880734584193439
28	18	0.1682078559562571
28	20	0.31654333863547773
28	22	0.5729816221869173
28	24	0.8069256935674317
28	26	0.9321241799452332
28	28	0.9713062018328128
28	30	0.9796546577609176
28	32	0.9826473547570629
28	34	0.9863557658577025
28	36	0.9878204974426941
28	38	0.9853307029688021
28	40	0.9806795791194085
28	42	0.9807200428910718
28	44	0.9883928290778436
28	46	0.9949638735415988
28	48	0.997249755490781
28	50	0.9971426955177572
28	52	0.9948194604966952
28	54	0.9895151558175886
28	56	0.9863545183241835
28	58	0.9893927319376746
28	60	0.9925100963181863
28	62	0.9938325147545416
28	64	0.9955044913349902
28	66	0.9978604873226639
28	68	0.9988423803209608
28	70	0.9982881943159627
28	72	0.9920930832108714
28	74	0.9513834003570804
28	76	0.862431333779187
28	78	0.8837584256423957
28	80	0.9640805051237703
28	82	0.990652590264065
28	84	0.9953069396033292
28	86	0.9952472087947231
28	88	0.9936567146051801
28	90	0.9922652074616282
